"","D_In_PrivacyPolicy","D_In_AwarenessDigitalThreats","D_In_PubPrivPartnerships","D_In_TechnologyEmployed","D_In_CyberSecurity","H_In_EnvironmentPolicies","H_In_AccessHealthcare","H_In_Beds_1000","H_In_Doctors_1000","H_In_AccessFood","H_In_QualityHealthServ","I_In_EnforceTransportSafety","I_In_PedestrianFriendliness","I_In_QualityRoad","I_In_QualityElectricity","I_In_DisasterManagement","P_In_PoliceEngage","P_In_CommunityPatrol","P_In_StreetCrimeData","P_In_TechForCrime","P_In_PrivateSecurity","P_In_GunRegulation","P_In_PoliticalStability","city","cluster","dim1","dim2"
"1",50,66.6666666666667,50,100,50,62.7906976744186,73.3333333333333,8.26514587982478,16.365171249397,99.7,75,100,100,100,75,75,100,100,100,0,100,47.6190476190476,55,"Abu Dhabi",1,-5.21014745083877,41.5372743300417
"2",100,100,50,100,50,97.6744186046511,100,38.019671047194,38.0004823926676,100,100,70,100,100,100,100,100,100,100,100,100,68.2539682539683,80,"Amsterdam",1,-88.8291715029524,-0.430403999130249
"3",75,100,0,75,50,41.8604651162791,73.3333333333333,38.8461856351765,73.0101302460203,100,62.5,60,100,50,75,75,50,0,100,100,100,31.7460317460317,70,"Athens",2,4.73367489940392,53.2600668851075
"4",25,66.6666666666667,0,0,50,72.0930232558139,80,16.5302917596496,2.32754462132176,98.2,62.5,52.5,50,25,100,75,50,100,0,100,100,41.2698412698413,40,"Bangkok",2,96.8490857784794,-22.6209656890729
"5",100,100,50,100,50,81.3953488372093,93.3333333333333,24.7954376394743,43.6324167872648,100,100,82.5,100,100,100,100,100,100,100,100,100,66.6666666666667,70,"Barcelona",1,-83.2920751990149,-1.10590394688192
"6",75,66.6666666666667,0,75,100,79.0697674418604,86.6666666666667,47.8998604880051,44.6092619392185,96.2,62.5,77.5,50,75,100,50,50,100,100,100,100,100,45,"Beijing",2,-0.218944106454004,7.13394544293075
"7",50,33.3333333333333,0,75,50,62.7906976744186,73.3333333333333,11.5712042317547,16.4857694163049,92.8,62.5,40,100,50,75,50,50,100,0,100,100,41.2698412698413,65,"Bogota",2,60.5252561480207,-12.1028678769044
"8",100,100,50,100,50,97.6744186046511,100,52.8969336308786,33.405692233478,100,100,67.5,100,75,100,100,50,100,100,100,100,58.7301587301587,75,"Brussels",1,-75.0830797198081,12.9699676578005
"9",75,33.3333333333333,50,75,100,90.6976744186046,93.3333333333333,38.019671047194,42.94500723589,99.2,75,62.5,100,75,100,100,50,0,100,100,100,68.2539682539683,60,"Buenos Aires",2,-32.2039803961232,58.8594378960636
"10",50,33.3333333333333,0,0,50,46.5116279069767,60,3.30605835192991,7.392667631452,99.5,37.5,60,50,50,75,50,50,100,100,100,100,41.2698412698413,50,"Cairo",2,83.7611273338215,10.4294039936942
"11",25,33.3333333333333,50,75,50,23.2558139534884,53.3333333333333,6.61211670385982,20.7911239749156,94.2,37.5,40,0,50,50,50,50,100,0,0,100,90.4761904761905,25,"Caracas",3,140.704645275337,-3.89029011610792
"12",75,33.3333333333333,0,75,50,62.7906976744186,60,6.61211670385982,5.02894356005789,87.7,37.5,57.5,0,50,75,75,100,0,100,0,100,60.3174603174603,40,"Casablanca",2,87.621498588607,65.225568875927
"13",100,100,100,100,100,90.6976744186046,93.3333333333333,19.8363501115795,30.3183791606368,99.3,87.5,77.5,100,75,100,100,100,100,100,100,100,41.2698412698413,80,"Chicago",1,-92.9034777708877,-33.5257962281575
"14",100,100,100,100,100,74.4186046511628,86.6666666666667,18.1833209356145,23.2995658465991,99.3,87.5,77.5,50,75,100,100,100,100,100,100,100,0,80,"Dallas",1,-68.1709025000744,-58.3845028231085
"15",25,66.6666666666667,50,75,100,90.6976744186046,80,21.5720307463427,6.31934394597202,82.5,62.5,37.5,0,50,50,50,100,100,100,100,100,49.2063492063492,75,"Delhi",2,36.6398916658709,-56.296011929274
"16",0,33.3333333333333,50,0,50,4.65116279069767,46.6666666666667,4.13257293991239,2.26724553786782,76.5,37.5,30,0,0,50,25,100,100,0,100,100,76.1904761904762,45,"Dhaka",3,165.076591282835,-73.9905778424728
"17",50,66.6666666666667,50,75,50,27.906976744186,80,9.09166046780725,21.2614568258562,87.5,75,77.5,50,75,75,100,100,100,100,100,100,60.3174603174603,60,"Doha",2,1.00057004719474,-15.8642716817154
"18",100,100,50,100,50,90.6976744186046,100,66.9476816265807,47.3227206946454,100,100,75,100,100,100,100,100,100,100,100,100,57.1428571428571,85,"Frankfurt",1,-92.7443789455008,0.423343442346802
"19",25,33.3333333333333,0,0,50,62.7906976744186,73.3333333333333,15.7037771716671,11.8065605402798,85.5,37.5,65,50,25,50,25,0,0,0,0,100,100,45,"Ho Chi Minh City",3,172.713585346642,81.9374063704335
"20",100,100,100,100,100,97.6744186046511,93.3333333333333,42.1522439871064,20.4896285576459,96.2,87.5,77.5,100,100,100,100,100,100,100,100,100,84.1269841269841,60,"Hong Kong",1,-100.746177460097,-20.2339109161884
"21",25,100,50,75,50,72.0930232558139,60,19.8363501115795,18.6685962373372,100,50,30,100,50,75,75,50,100,100,100,100,17.4603174603175,35,"Istanbul",2,14.0441272561576,-0.300984982954275
"22",25,66.6666666666667,0,0,50,44.1860465116279,73.3333333333333,6.61211670385982,0,76.9,37.5,65,0,50,50,50,50,100,100,0,0,74.6031746031746,60,"Jakarta",3,146.744649902098,9.15483408733321
"23",50,66.6666666666667,0,75,100,32.5581395348837,73.3333333333333,11.1884749095716,24.2134211515987,97.5,62.5,60,0,75,100,0,50,100,0,100,0,4.76190476190476,45,"Jeddah",3,111.713821010192,-102.05753288712
"24",50,66.6666666666667,50,75,50,86.046511627907,80,19.8363501115795,6.82585624698505,94.3,50,35,50,50,50,75,50,100,100,0,100,12.6984126984127,65,"Johannesburg",2,50.8487695890577,29.6839071052171
"25",25,100,0,0,50,13.953488372093,66.6666666666667,4.13257293991239,7.29618909792571,48.1,50,30,50,25,25,0,100,100,0,0,0,19.047619047619,40,"Karachi",3,186.787024635381,-54.9820837346274
"26",50,66.6666666666667,50,75,50,62.7906976744186,73.3333333333333,14.8772625836846,13.0246020260492,98.5,62.5,50,50,75,100,75,50,100,100,100,100,76.1904761904762,65,"Kuala Lumpur",2,8.72984830385805,-1.62502267731524
"27",50,33.3333333333333,0,75,50,0,80,17.356806347632,21.0805595754945,99.2,87.5,62.5,50,75,100,75,50,100,100,0,100,96.031746031746,40,"Kuwait City",2,62.2002753411239,64.5286100154839
"28",50,66.6666666666667,50,75,50,69.7674418604651,86.6666666666667,11.5712042317547,11.0347322720695,88.8,62.5,37.5,0,75,100,75,50,100,100,0,100,12.6984126984127,65,"Lima",2,54.6525033177763,13.6224708035101
"29",100,100,50,100,50,83.7209302325581,86.6666666666667,23.1424084635094,31.4158224794983,100,87.5,87.5,100,75,100,100,100,100,100,100,100,84.1269841269841,75,"London",1,-75.2705323989376,-0.70642614402942
"30",100,100,100,100,100,95.3488372093023,93.3333333333333,14.0507479957021,29.232995658466,99.3,87.5,77.5,100,75,100,100,100,100,100,100,100,46.8253968253968,80,"Los Angeles",1,-93.4242053983852,-32.910400313271
"31",100,100,50,100,50,81.3953488372093,93.3333333333333,24.7954376394743,43.6324167872648,100,87.5,82.5,100,100,100,100,100,100,100,100,100,66.6666666666667,70,"Madrid",1,-80.691146991129,-0.941756749152827
"32",25,33.3333333333333,50,0,50,27.906976744186,73.3333333333333,7.4386312918423,10.9623733719247,93.1,62.5,42.5,50,50,75,25,50,100,100,100,100,31.7460317460317,50,"Manila",2,86.0832909815133,-10.9560624186335
"33",100,100,50,100,100,81.3953488372093,100,31.4075543433342,38.2657983598649,100,100,77.5,100,100,100,100,100,100,100,100,100,76.1904761904762,90,"Melbourne",1,-92.7411635799583,-12.7691898043716
"34",50,66.6666666666667,50,75,50,86.046511627907,86.6666666666667,11.5712042317547,22.5518572117704,96.7,50,42.5,100,50,50,75,50,100,100,100,100,46.031746031746,50,"Mexico City",2,5.29420449027412,9.83451627956484
"35",100,66.6666666666667,100,100,50,83.7209302325581,93.3333333333333,27.2749814034218,45.1519536903039,100,75,72.5,100,75,100,100,50,100,100,100,100,50.7936507936508,60,"Milan",1,-68.6570296561411,4.80371080164485
"36",50,33.3333333333333,0,75,50,65.1162790697674,80,89.1809268807339,37.4457308248915,97.4,75,67.5,100,75,100,75,0,100,100,0,100,58.7301587301587,40,"Moscow",2,30.6765084024443,102.840231220408
"37",25,66.6666666666667,50,75,100,32.5581395348837,86.6666666666667,26.4484668154393,6.31934394597202,82.5,37.5,37.5,0,0,75,50,100,100,100,100,100,49.2063492063492,75,"Mumbai",2,61.2109265715085,-63.4135952947263
"38",100,100,100,100,100,95.3488372093023,93.3333333333333,21.4893792875444,40.2436082971539,99.3,87.5,77.5,100,75,100,100,100,100,100,100,100,34.9206349206349,80,"New York",1,-95.1088990850588,-33.6581111590905
"39",75,66.6666666666667,50,100,100,90.6976744186046,100,100,30.6922334780511,100,100,82.5,100,100,100,100,100,100,100,100,100,84.1269841269841,85,"Osaka",1,-88.8124026099803,4.44045933795547
"40",100,66.6666666666667,50,100,50,97.6744186046511,100,52.0704190428961,36.4930053063193,100,100,87.5,100,75,100,100,50,100,100,100,100,44.4444444444444,65,"Paris",1,-69.7579673393517,19.8164543020067
"41",0,66.6666666666667,50,75,50,23.2558139534884,60,12.3977188197372,17.6555716353111,89,37.5,55,0,50,75,25,50,0,0,100,100,41.2698412698413,50,"Quito",2,125.083928793587,-29.2021094841817
"42",25,66.6666666666667,0,75,50,60.4651162790698,73.3333333333333,18.1833209356145,19.9107573564882,98.4,62.5,70,100,50,100,75,50,100,100,100,100,52.3809523809524,60,"Rio de Janeiro",2,16.5900976772802,24.6757598383697
"43",50,66.6666666666667,0,75,50,32.5581395348837,80,12.7043408014275,23.2022243744959,97.5,62.5,60,0,50,75,0,50,100,0,100,0,4.76190476190476,45,"Riyadh",3,126.416650957189,-92.7657969847114
"44",100,100,50,100,50,69.7674418604651,93.3333333333333,27.2749814034218,45.1519536903039,100,75,72.5,100,100,100,100,50,100,100,100,100,50.7936507936508,60,"Rome",1,-64.4342133160973,11.8682644085451
"45",100,100,100,100,100,90.6976744186046,93.3333333333333,14.0507479957021,29.232995658466,99.3,87.5,77.5,100,75,100,100,100,100,100,100,100,46.8253968253968,80,"San Francisco",1,-92.3237813938057,-33.2216011775911
"46",50,66.6666666666667,50,75,50,48.8372093023256,80,16.5302917596496,10.0337674867342,99.2,62.5,45,100,75,100,100,50,0,100,100,100,33.3333333333333,80,"Santiago",2,-2.62984373994112,49.0942058040957
"47",25,66.6666666666667,0,75,50,60.4651162790698,80,18.1833209356145,19.9107573564882,98.4,62.5,70,100,75,75,75,50,100,100,100,100,52.3809523809524,60,"Sao Paulo",2,14.3178873580404,26.5079834331537
"48",100,33.3333333333333,50,100,50,93.0232558139535,93.3333333333333,84.3044879742127,24.4814278822962,99.7,87.5,72.5,100,75,100,100,100,100,100,100,100,76.1904761904762,55,"Seoul",1,-67.6007478180001,19.4239995462452
"49",75,66.6666666666667,0,75,50,79.0697674418604,86.6666666666667,44.5449612297414,28.9315002411963,96.2,62.5,77.5,50,75,100,50,50,100,100,100,100,100,45,"Shanghai",2,7.83540207239367,17.5304129264993
"50",75,100,100,100,100,97.6744186046511,93.3333333333333,15.7037771716671,20.6464061746261,100,100,82.5,100,100,100,100,100,100,100,100,100,84.1269841269841,80,"Singapore",1,-95.9700593594839,-23.6280250611523
"51",75,100,50,100,50,86.046511627907,86.6666666666667,21.4893792875444,47.1056439942113,100,87.5,75,100,100,100,100,50,100,100,100,100,57.1428571428571,85,"Stockholm",1,-65.8671201483736,12.1312044418455
"52",100,100,50,100,100,86.046511627907,100,31.4075543433342,38.2657983598649,100,100,77.5,100,100,100,100,100,100,100,100,100,76.1904761904762,90,"Sydney",1,-93.8415875845378,-12.4579889400516
"53",75,66.6666666666667,100,100,100,97.6744186046511,86.6666666666667,75.328539548723,14.0633718633389,96.2,87.5,77.5,100,75,75,75,100,100,100,100,100,92.0634920634921,65,"Taipei",1,-73.1273058965906,-15.6572364012074
"54",0,33.3333333333333,0,0,50,62.7906976744186,66.6666666666667,0,15.5571635311143,84.9,62.5,67.5,100,50,50,75,50,0,100,0,100,50.7936507936508,30,"Tehran",2,107.634855051943,120.236482602779
"55",75,66.6666666666667,100,100,100,86.046511627907,100,77.5518637903959,36.5774240231548,100,100,82.5,100,100,100,100,100,100,100,100,100,84.1269841269841,85,"Tokyo",1,-98.3146255866047,-10.8793203552675
"56",100,100,50,100,100,95.3488372093023,100,21.4893792875444,27.4481427882296,99.8,100,77.5,100,75,100,100,100,100,100,100,100,60.3174603174603,95,"Toronto",1,-87.7776351320982,-18.5524988431694
"57",100,100,50,100,100,100,93.3333333333333,13.2242334077196,100,99.3,87.5,77.5,100,75,100,100,100,100,100,100,100,76.1904761904762,80,"Washington DC",1,-91.7965207096029,-11.3992979187043
"58",75,66.6666666666667,50,100,50,86.046511627907,93.3333333333333,18.1833209356145,31.9705740472745,100,87.5,87.5,100,100,100,100,100,100,100,100,100,76.1904761904762,85,"Wellington",1,-68.8091306149162,6.59107598708588
"59",0,33.3333333333333,0,0,50,37.2093023255814,60,4.95908752789487,4.42595272551857,71.2,37.5,50,0,25,50,25,50,100,0,0,0,68.2539682539683,50,"Yangon",3,210.290803332908,-24.3807861287381
"60",75,100,50,100,50,86.046511627907,100,40.4992148111414,47.1900627110468,100,100,75,100,100,100,100,50,100,100,100,100,13.4920634920635,85,"Zurich",1,-70.423248000192,6.35033267299382
